gene	rank_tracerx	score_tracerx	prevalence_tracerx	median_ccf_tracerx	rank_dpclust	score_dpclust	prevalence_dpclust	median_ccf_dpclust	rank_freq	freq_score	freq_percent	avg_rank
SOX2	16	0.484848484848485	0.141414141414141	1.0	3	0.535482042888891	0.0044642857142857	1.3320086786508	66	0.0054858934169279	0.54858934169279	28.333333333333332
GPC5	35	0.436363636363636	0.0606060606060606	1.0	26	0.424485511258767	0.0580357142857143	0.974160206718346	27	0.02468652037617555	2.468652037617555	29.333333333333332
RET	25	0.460606060606061	0.101010101010101	1.0	43	0.393793592414278	0.0513392857142857	0.907475052464266	29	0.02311912225705329	2.311912225705329	32.333333333333336
DDR2	33	0.440424242424242	0.0707070707070707	0.995	29	0.413991739137516	0.0457589285714286	0.966340954986646	37	0.017535266457680252	1.7535266457680252	33.0
NRG1	22	0.466666666666667	0.111111111111111	1.0	45	0.384244537815126	0.0446428571428571	0.893647058823529	35	0.018612852664576802	1.8612852664576802	34.0
LRIG3	38	0.432363636363636	0.0606060606060606	0.99	27	0.421954166666666	0.0256696428571429	1.01638095238095	39	0.016849529780564265	1.6849529780564265	34.666666666666664
N4BP2	45	0.418181818181818	0.0303030303030303	1.0	31	0.410867408557626	0.0245535714285714	0.990338164251208	33	0.020963949843260186	2.0963949843260186	36.333333333333336
FGFR2	28	0.450545454545455	0.0909090909090909	0.99	52	0.378215198022529	0.0290178571428571	0.902011209342036	30	0.02311912225705329	2.311912225705329	36.666666666666664
RICTOR	42	0.422424242424242	0.0707070707070707	0.95	44	0.392236416230064	0.0435267857142857	0.915300862003731	31	0.022629310344827586	2.2629310344827585	39.0
NTRK2	41	0.424242424242424	0.0404040404040404	1.0	40	0.395514492753623	0.0446428571428571	0.921821946169773	41	0.01626175548589342	1.6261755485893419	40.666666666666664
EML4	19	0.472727272727273	0.121212121212121	1.0	58	0.36362123374991	0.0189732142857143	0.880593262946205	46	0.013322884012539185	1.3322884012539185	41.0
PIK3CB	48	0.414242424242424	0.0404040404040404	0.975	39	0.39655576496674	0.03125	0.944514412416851	40	0.01665360501567398	1.6653605015673982	42.333333333333336
SOS1	59	0.410121212121212	0.0202020202020202	0.995	38	0.400799287065091	0.0334821428571429	0.951775003377012	32	0.021551724137931036	2.1551724137931036	43.0
HIP1	32	0.446484848484848	0.0808080808080808	0.995	59	0.359735988748334	0.0357142857142857	0.845768543299408	42	0.01557601880877743	1.557601880877743	44.333333333333336
CUL3	49	0.414181818181818	0.0303030303030303	0.99	46	0.383421765548411	0.0368303571428571	0.903308878156742	38	0.01743730407523511	1.7437304075235112	44.333333333333336
TFG	54	0.412121212121212	0.0202020202020202	1.0	15	0.442092426713859	0.0122767857142857	1.08681588821322	64	0.006269592476489028	0.6269592476489028	44.333333333333336
KIF5B	43	0.422242424242424	0.0404040404040404	0.995	47	0.383377976190476	0.0167410714285714	0.933333333333333	44	0.014988244514106583	1.4988244514106583	44.666666666666664
SLC34A2	58	0.410121212121212	0.0202020202020202	0.995	41	0.394253629500581	0.0245535714285714	0.948803716608595	45	0.01381269592476489	1.3812695924764888	48.0
GOLPH3	50	0.414181818181818	0.0303030303030303	0.99	30	0.411738102681726	0.0089285714285714	1.01595239956146	68	0.004702194357366771	0.4702194357366771	49.333333333333336
RAD21	44	0.418242424242424	0.0404040404040404	0.985	57	0.372798953083258	0.0212053571428571	0.900189346993858	48	0.012637147335423198	1.2637147335423198	49.666666666666664
MB21D2	36	0.436363636363636	0.0606060606060606	1.0	67	0.322175967824199	0.0412946428571429	0.743497955274782	50	0.012049373040752352	1.2049373040752351	51.0
BAP1	65	0.392242424242424	0.0404040404040404	0.92	62	0.354575216450217	0.0111607142857143	0.86969696969697	28	0.02390282131661442	2.3902821316614418	51.666666666666664
HIF1A	37	0.434363636363636	0.0606060606060606	0.995	64	0.338194617882118	0.0100446428571429	0.83041958041958	56	0.01018808777429467	1.018808777429467	52.333333333333336
SDC4	46	0.418181818181818	0.0303030303030303	1.0	42	0.394115068713912	0.0089285714285714	0.971894814641924	71	0.0038205329153605016	0.38205329153605017	53.0
TPM3	39	0.43030303030303	0.0505050505050505	1.0	53	0.377936126373626	0.0145089285714286	0.923076923076923	69	0.0041144200626959246	0.41144200626959243	53.666666666666664
MAP2K1	51	0.414181818181818	0.0303030303030303	0.99	55	0.374634061876942	0.0167410714285714	0.911473547549497	55	0.010286050156739812	1.0286050156739812	53.666666666666664
EED	53	0.412121212121212	0.0202020202020202	1.0	48	0.381762569581104	0.0133928571428571	0.934317138238474	61	0.00813087774294671	0.8130877742946709	54.0
CCDC6	56	0.410121212121212	0.0202020202020202	0.995	51	0.380220334101383	0.0100446428571429	0.935483870967742	58	0.00911050156739812	0.9110501567398119	55.0
STRN	52	0.412363636363636	0.0606060606060606	0.94	60	0.358484789666855	0.0256696428571429	0.857707509881423	53	0.010873824451410658	1.0873824451410659	55.0
PRKCI	69	0.290181818181818	0.0303030303030303	0.68	49	0.381259140634141	0.0200892857142857	0.923013923013923	47	0.013224921630094044	1.3224921630094044	55.0
AKT1	61	0.406060606060606	0.0101010101010101	1.0	54	0.376943540192684	0.0100446428571429	0.927291886195996	52	0.0109717868338558	1.09717868338558	55.666666666666664
NKX2-1	64	0.402060606060606	0.0101010101010101	0.99	37	0.404280042791073	0.0100446428571429	0.995633142691968	67	0.005094043887147335	0.5094043887147335	56.0
EZR	55	0.410181818181818	0.0303030303030303	0.98	56	0.373324311148557	0.0100446428571429	0.918243813585677	59	0.008718652037617555	0.8718652037617556	56.666666666666664
SIRPA	57	0.410121212121212	0.0202020202020202	0.995	65	0.33613227298076	0.0245535714285714	0.803500325309044	57	0.009404388714733543	0.9404388714733543	59.666666666666664
MYCL	47	0.414242424242424	0.0404040404040404	0.975	68	0.304811125591201	0.0044642857142857	0.755331385406574	65	0.00558385579937304	0.5583855799373041	60.0
ITGB1	68	0.308121212121212	0.0202020202020202	0.74	63	0.352256129188648	0.0212053571428571	0.848832287257335	54	0.010579937304075235	1.0579937304075235	61.666666666666664
CPEB3	63	0.402060606060606	0.0101010101010101	0.99	61	0.356733709315593	0.0066964285714285	0.88178963043184	62	0.0072492163009404385	0.7249216300940439	62.0
MAP2K2	67	0.362181818181818	0.0303030303030303	0.86	69	0.297185854006674	0.0022321428571428	0.739616420730971	63	0.0069553291536050155	0.6955329153605015	66.33333333333333
SUB1	62	0.406060606060606	0.0101010101010101	1.0	71	0.272054258241758	0.0011160714285714	0.678461538461539	73	0.001371473354231975	0.1371473354231975	68.66666666666667
CD74	66	0.378121212121212	0.0202020202020202	0.915	70	0.28052971282216	0.0011160714285714	0.699650174912544	70	0.003918495297805642	0.3918495297805642	68.66666666666667
LEPROTL1	60	0.406121212121212	0.0202020202020202	0.985	73	0.240760377502159	0.0022321428571428	0.598552729469683	74	0.0011755485893416929	0.11755485893416928	69.0
